row_id,date,customer_name,material_code,material_description,pick_qty,pick_uom,menu_type
176,2025-05-08,HP 15,600102,Aloo Posto - Cost Food,7.05,KG,LUNCH
177,2025-05-08,HP 15,600769,Dal Panchmel,13.95,KG,LUNCH
178,2025-05-08,HP 15,601517,Mangodi Mutter Ki Subzi,3.6,KG,DINNER
179,2025-05-08,HP 15,601618,Mirch Ka Salan - Cf,3.0,KG,LUNCH
180,2025-05-08,HP 15,602406,Subzi Nizami Hundi,12.0,KG,LUNCH
181,2025-05-08,HP 15,602579,Toor Dal Tadka,2.8,KG,DINNER
182,2025-05-08,HP 16,600102,Aloo Posto - Cost Food,7.05,KG,LUNCH
183,2025-05-08,HP 16,600769,Dal Panchmel,13.95,KG,LUNCH
184,2025-05-08,HP 16,601517,Mangodi Mutter Ki Subzi,3.56,KG,DINNER
185,2025-05-08,HP 16,602406,Subzi Nizami Hundi,12.0,KG,LUNCH
186,2025-05-08,HP 16,602579,Toor Dal Tadka,2.68,KG,DINNER
187,2025-05-08,Ind4,600209,Bengali Moong Dal Khitchdi_Br Rice,3.0,KG,LUNCH
188,2025-05-08,Ind4,601872,Paneer Bhurji Mutter,2.0,KG,LUNCH
189,2025-05-08,Ind4,602119,Rajmah Masala,2.0,KG,LUNCH
190,2025-05-08,Ind4,612447,Aloo Kurkure,2.0,KG,LUNCH
191,2025-05-08,McK8,602119,Rajmah Masala,5.0,KG,LUNCH
192,2025-05-08,Mot17,600778,Dal Trivedi,8.04,KG,LUNCH
193,2025-05-08,Mot17,601876,Paneer Butter Masala,11.04,KG,LUNCH
194,2025-05-08,Mot17,611384,Kaddu Ki Subzi,6.48,KG,LUNCH
195,2025-05-08,NUT18,600064,Aloo Kabab,0.0,KG,LUNCH
196,2025-05-08,NUT18,600769,Dal Panchmel,0.0,KG,LUNCH
197,2025-05-08,Nik19,600588,Choley Masala,12.0,KG,LUNCH
198,2025-05-08,Nik19,600796,Diwani Handi - Cost Food,15.0,KG,LUNCH
199,2025-05-08,Nik19,602408,Subzi Shukto - Cost Food,14.0,KG,LUNCH
200,2025-05-08,Nik19,602416,Sultani Dal,16.0,KG,LUNCH
201,2025-05-08,Nik19,602602,Turai Ki Sabzi,12.0,KG,LUNCH
202,2025-05-08,PEG9,600779,Dalcha,13.5,KG,LUNCH
203,2025-05-08,PEG9,612090,Bharli Vangi,9.0,KG,LUNCH
204,2025-05-08,Pho10,601424,Lobia Masala,167.67,KG,LUNCH
205,2025-05-08,Pho10,602386,Subz Hariyali Masala - Cost Food,162.81,KG,LUNCH
206,2025-05-08,Pho10,611508,Gobi Masala,116.64,KG,LUNCH
207,2025-05-08,RUB21,600229,Bhindi Do Pyaza - Bqt,20.02,KG,DINNER
208,2025-05-08,RUB21,600755,Dal Fry,20.21,KG,LUNCH
209,2025-05-08,RUB21,601751,Mushroom Mutter Kurma,21.93,KG,LUNCH
210,2025-05-08,RUB21,601929,Paneer Kadai Masala - Cost Food,22.88,KG,DINNER
211,2025-05-08,RUB21,602014,Pindi Choley,22.1,KG,DINNER
212,2025-05-08,RUB21,602094,Punjabi Kadi Pakodi,22.1,KG,DINNER
213,2025-05-08,RUB21,611327,Shai Paneer,24.94,KG,LUNCH
214,2025-05-08,RUB21,611689,Gajar Ki Subzi,20.21,KG,LUNCH
215,2025-05-08,SBM22,600102,Aloo Posto - Cost Food,6.0,KG,LUNCH
216,2025-05-08,SBM22,600770,Dal Panchmeal -Cf-L,14.0,KG,LUNCH
217,2025-05-08,SBM22,601618,Mirch Ka Salan - Cf,5.0,KG,LUNCH
218,2025-05-08,SBM22,602406,Subzi Nizami Hundi,5.0,KG,LUNCH
219,2025-05-08,SBM22,611387,Soya Pepper Masala,8.0,KG,LUNCH
220,2025-05-08,SYN23,601902,Paneer Tikka,24.85,KG,LUNCH
221,2025-05-08,SYN23,602119,Rajmah Masala,30.1,KG,LUNCH
222,2025-05-08,Sam5,600081,Aloo Palak - Cost Food,27.04,KG,DINNER
223,2025-05-08,Sam5,600081,Aloo Palak - Cost Food,44.2,KG,LUNCH
224,2025-05-08,Sam5,600230,Bhindi Do Pyaza - Cost Food,26.0,KG,DINNER
225,2025-05-08,Sam5,600245,Biryani Ka Salan,22.1,KG,LUNCH
226,2025-05-08,Sam5,600588,Choley Masala,18.9,KG,BREAKFAST
227,2025-05-08,Sam5,600588,Choley Masala,62.9,KG,LUNCH
228,2025-05-08,Sam5,600760,Dal Khichdi_Cf_Br Rice,96.9,KG,LUNCH
